,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Age,Employed_exp,Type_Occupation,Family_Members,label
256,F,Y,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,other,2,0
257,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,15.0,Core staff,2,0
258,F,Y,N,0,121500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,0
259,M,N,Y,0,202500.0,Commercial associate,Lower secondary,Married,Rented apartment,27.0,5.0,Sales staff,2,0
260,F,Y,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,54.0,16.0,Secretaries,1,0
261,F,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,34.0,1.0,Accountants,4,0
262,F,N,Y,0,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47.0,4.0,Sales staff,2,0
263,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,54.0,12.0,Laborers,2,0
264,M,Y,N,0,337500.0,Working,Secondary / secondary special,Single / not married,With parents,31.0,9.0,Core staff,1,0
265,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,11.0,Medicine staff,2,0
266,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,other,2,0
267,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,32.0,1.0,Managers,2,0
268,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,27.0,5.0,other,2,0
269,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.0,2.0,Managers,3,0
270,M,Y,Y,0,337500.0,Working,Higher education,Separated,House / apartment,36.0,2.0,Laborers,1,0
271,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,47.0,0.0,other,2,0
272,F,N,N,1,337500.0,Commercial associate,Higher education,Civil marriage,House / apartment,41.0,5.0,Sales staff,3,0
273,F,N,Y,2,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,4.0,other,3,0
274,F,Y,Y,1,337500.0,State servant,Higher education,Married,House / apartment,49.0,2.0,Core staff,3,0
275,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,53.0,21.0,Medicine staff,1,0
276,M,N,N,0,270000.0,Working,Secondary / secondary special,Married,With parents,32.0,2.0,Laborers,2,0
277,F,N,N,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,43.0,14.0,Sales staff,1,0
278,F,Y,Y,0,337500.0,Pensioner,Higher education,Widow,House / apartment,61.0,0.0,other,1,0
279,F,N,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,64.0,0.0,other,2,0
280,F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,35.0,17.0,Sales staff,1,0
281,M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57.0,7.0,other,2,0
282,F,N,N,0,112500.0,State servant,Secondary / secondary special,Married,With parents,47.0,21.0,Medicine staff,2,0
283,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,2.0,other,2,0
284,F,N,N,0,157500.0,Working,Secondary / secondary special,Single / not married,With parents,25.0,3.0,Sales staff,1,0
285,M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,33.0,4.0,Drivers,1,0
286,F,N,Y,0,94500.0,Commercial associate,Incomplete higher,Married,House / apartment,38.0,9.0,Sales staff,2,0
287,M,N,N,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,39.0,0.0,Low-skill Laborers,2,0
288,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46.0,7.0,Sales staff,2,0
289,F,N,Y,2,198000.0,Commercial associate,Incomplete higher,Separated,House / apartment,43.0,8.0,other,3,0
290,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,37.0,19.0,Core staff,4,0
291,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,Drivers,2,0
292,F,N,Y,0,67500.0,Working,Secondary / secondary special,Single / not married,House / apartment,50.0,1.0,Laborers,2,0
293,F,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.0,8.0,Realty agents,3,0
294,F,N,N,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,30.0,9.0,Sales staff,2,0
295,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,14.0,other,3,0
296,M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,5.0,Managers,2,0
297,F,N,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,10.0,Sales staff,3,0
298,F,N,Y,2,270000.0,Commercial associate,Higher education,Civil marriage,House / apartment,30.0,10.0,Laborers,4,0
299,F,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,40.0,13.0,Laborers,3,0
300,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,5.0,Laborers,3,0
301,M,N,N,2,171000.0,Working,Secondary / secondary special,Married,Municipal apartment,38.0,16.0,Core staff,4,0
302,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,28.0,5.0,Laborers,2,0
303,F,N,N,0,94500.0,Working,Higher education,Married,House / apartment,46.0,1.0,Security staff,2,0
304,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,27.0,1.0,Sales staff,1,0
305,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,58.0,5.0,Drivers,2,0
306,F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,6.0,Sales staff,2,0
307,F,N,N,0,54000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,55.0,0.0,other,1,0
308,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,other,2,0
309,M,Y,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,other,2,0
310,M,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,5.0,Drivers,2,0
311,F,N,Y,0,166500.0,State servant,Higher education,Married,House / apartment,65.0,21.0,other,2,0
312,M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,23.0,4.0,Core staff,1,0
313,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,47.0,4.0,Core staff,1,0
314,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,28.0,4.0,Sales staff,2,0
315,F,Y,N,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,1.0,Medicine staff,2,0
316,F,N,Y,0,202500.0,Working,Secondary / secondary special,Widow,House / apartment,49.0,21.0,Core staff,1,0
317,M,N,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.0,4.0,High skill tech staff,1,0
318,M,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,51.0,14.0,Managers,2,0
319,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,38.0,8.0,Accountants,2,0
320,F,Y,N,2,337500.0,Working,Incomplete higher,Married,House / apartment,35.0,6.0,Accountants,4,0
321,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,34.0,1.0,other,2,0
322,F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,5.0,High skill tech staff,2,0
323,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,56.0,10.0,other,2,0
324,F,Y,Y,0,166500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47.0,3.0,Sales staff,2,0
325,F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,47.0,8.0,Medicine staff,1,0
326,M,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,32.0,12.0,Core staff,2,0
327,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,other,2,0
328,F,N,Y,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,0
329,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,57.0,0.0,other,1,0
330,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,0.0,Laborers,2,0
331,F,N,Y,0,72000.0,Working,Secondary / secondary special,Widow,House / apartment,55.0,6.0,Cleaning staff,1,0
332,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,45.0,21.0,Laborers,2,0
333,M,N,N,1,315000.0,Commercial associate,Higher education,Married,House / apartment,50.0,0.0,other,3,0
334,F,N,Y,0,167400.0,Pensioner,Secondary / secondary special,Married,House / apartment,52.0,0.0,other,2,0
335,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63.0,0.0,other,1,0
336,M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,other,2,0
337,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,40.0,12.0,Core staff,2,0
338,F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,34.0,0.0,Core staff,3,0
339,M,Y,Y,0,153000.0,Working,Higher education,Separated,With parents,55.0,21.0,Managers,1,0
340,F,N,Y,0,337500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,37.0,9.0,Private service staff,1,0
341,F,N,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,With parents,39.0,0.0,Sales staff,2,0
342,F,Y,N,1,337500.0,Working,Higher education,Widow,House / apartment,45.0,11.0,Managers,2,0
343,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,0
344,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,64.0,13.0,Medicine staff,2,0
345,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,61.0,0.0,other,1,0
346,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,62.0,0.0,other,1,0
347,M,Y,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,64.0,21.0,Laborers,2,0
348,F,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,52.0,9.0,other,1,0
349,F,N,Y,1,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,28.0,5.0,Private service staff,3,0
350,F,Y,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,0
351,M,Y,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,1.0,Laborers,3,0
352,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,other,2,0
353,M,Y,Y,2,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,17.0,Drivers,4,0
354,F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,With parents,29.0,0.0,Private service staff,3,0
355,M,Y,Y,1,380250.0,Working,Higher education,Married,Office apartment,51.0,7.0,Managers,3,0
356,F,N,Y,0,90000.0,Working,Higher education,Married,House / apartment,52.0,5.0,Sales staff,2,0
357,F,N,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,57.0,10.0,Core staff,3,0
358,F,N,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,9.0,Sales staff,3,0
359,F,N,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,27.0,8.0,Core staff,3,0
360,F,N,Y,0,243000.0,Commercial associate,Secondary / secondary special,Married,With parents,47.0,9.0,Laborers,2,0
361,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,26.0,3.0,other,1,0
362,F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,60.0,0.0,other,2,0
363,F,N,Y,1,234000.0,Working,Secondary / secondary special,Single / not married,House / apartment,57.0,21.0,Core staff,2,0
364,F,N,Y,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,54.0,10.0,Laborers,2,0
365,F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,31.0,0.0,Core staff,4,0
366,F,Y,Y,0,121500.0,State servant,Secondary / secondary special,Married,House / apartment,55.0,9.0,other,2,0
367,M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,30.0,1.0,Laborers,3,0
368,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,other,2,0
369,F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,26.0,5.0,other,2,0
370,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,40.0,4.0,Laborers,3,0
371,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,30.0,10.0,Laborers,2,0
372,F,N,N,1,76500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,Sales staff,3,0
373,M,N,Y,0,85500.0,State servant,Secondary / secondary special,Separated,Co-op apartment,45.0,21.0,Core staff,1,0
374,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,4.0,Core staff,2,0
375,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.0,0.0,other,1,0
376,F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,39.0,4.0,High skill tech staff,3,0
377,F,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,29.0,3.0,other,2,0
378,F,Y,Y,2,337500.0,Working,Higher education,Single / not married,House / apartment,39.0,1.0,other,3,0
379,F,N,Y,0,283500.0,Working,Secondary / secondary special,Married,House / apartment,49.0,2.0,Sales staff,2,0
380,F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.0,0.0,other,1,0
381,M,N,Y,0,166500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,51.0,10.0,Cleaning staff,1,0
382,F,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,3.0,Medicine staff,2,0
383,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40.0,20.0,Laborers,2,0
384,F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,58.0,0.0,other,1,0
385,M,Y,N,1,380250.0,Working,Higher education,Married,House / apartment,53.0,15.0,Managers,3,0
386,F,Y,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,39.0,10.0,Sales staff,2,0
387,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,57.0,0.0,other,1,0
388,M,Y,Y,1,380250.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.0,3.0,Managers,3,0
389,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54.0,9.0,other,2,0
390,M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,5.0,Managers,2,0
391,F,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,48.0,21.0,Private service staff,1,0
392,F,N,N,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,38.0,4.0,Accountants,4,0
393,F,N,Y,0,337500.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,10.0,Accountants,2,0
394,F,N,Y,1,36000.0,Working,Secondary / secondary special,Married,House / apartment,34.0,3.0,Core staff,3,0
395,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,31.0,1.0,Laborers,3,0
396,M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,57.0,7.0,other,2,0
397,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,32.0,3.0,Medicine staff,2,0
398,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.0,6.0,Core staff,4,0
399,F,N,Y,0,292500.0,Working,Higher education,Separated,House / apartment,54.0,21.0,Core staff,1,0
400,M,Y,N,1,315000.0,State servant,Secondary / secondary special,Married,House / apartment,36.0,10.0,High skill tech staff,3,0
401,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,With parents,34.0,2.0,other,2,0
402,F,N,N,2,337500.0,Working,Secondary / secondary special,Married,House / apartment,30.0,6.0,Core staff,4,0
403,F,N,N,1,157500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,35.0,15.0,Core staff,2,0
404,F,Y,Y,0,337500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,10.0,Sales staff,2,0
405,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,41.0,12.0,Managers,3,0
406,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,30.0,1.0,Drivers,2,0
407,M,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,37.0,1.0,other,2,0
408,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,25.0,3.0,Drivers,2,0
409,F,Y,Y,0,139500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58.0,0.0,other,2,0
410,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,32.0,13.0,other,1,0
411,F,Y,Y,1,133650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,5.0,other,3,0
412,M,Y,Y,1,380250.0,Working,Secondary / secondary special,Married,House / apartment,33.0,7.0,Drivers,3,0
413,F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,29.0,4.0,Core staff,3,0
414,F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,31.0,1.0,Accountants,3,0
415,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,62.0,6.0,High skill tech staff,2,0
416,M,Y,N,2,135000.0,Working,Higher education,Married,House / apartment,35.0,4.0,Core staff,4,0
417,F,N,N,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,46.0,4.0,Waiters/barmen staff,2,0
418,F,Y,Y,1,180000.0,Working,Higher education,Separated,House / apartment,52.0,16.0,Managers,2,0
419,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,9.0,Cooking staff,2,0
420,M,Y,Y,0,252000.0,Commercial associate,Higher education,Married,House / apartment,38.0,7.0,Drivers,2,0
421,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,9.0,Managers,3,0
422,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,57.0,6.0,other,2,0
423,M,N,Y,0,247500.0,Working,Incomplete higher,Married,House / apartment,25.0,1.0,Core staff,2,0
424,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,0
425,M,Y,Y,1,180000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,43.0,18.0,other,3,0
426,F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,29.0,1.0,High skill tech staff,4,0
427,F,N,N,0,157500.0,Working,Higher education,Civil marriage,With parents,36.0,1.0,Accountants,2,0
428,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55.0,0.0,other,2,0
429,M,Y,Y,0,166500.0,Commercial associate,Higher education,Married,House / apartment,33.0,9.0,Accountants,2,0
430,M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,60.0,0.0,other,2,0
431,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,28.0,4.0,Laborers,3,0
432,M,Y,Y,0,247500.0,Working,Higher education,Married,House / apartment,35.0,7.0,Managers,2,0
433,M,Y,N,0,99000.0,State servant,Secondary / secondary special,Married,House / apartment,53.0,1.0,Core staff,2,0
434,M,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,4.0,Drivers,2,0
435,M,Y,N,1,202500.0,State servant,Higher education,Married,House / apartment,37.0,7.0,other,3,0
436,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,32.0,2.0,other,4,0
437,F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,31.0,0.0,Core staff,4,0
438,F,Y,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,26.0,4.0,other,2,0
439,F,N,N,2,121500.0,Working,Higher education,Married,House / apartment,32.0,2.0,HR staff,4,0
440,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,48.0,5.0,Laborers,1,0
441,F,N,N,0,180000.0,State servant,Secondary / secondary special,Widow,House / apartment,50.0,1.0,Laborers,1,0
442,F,N,N,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,20.0,Core staff,1,0
443,M,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,53.0,0.0,other,2,0
444,M,Y,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,20.0,High skill tech staff,3,0
445,M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,With parents,39.0,2.0,Drivers,4,0
446,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.0,19.0,Laborers,2,0
447,M,Y,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,37.0,1.0,Laborers,4,0
448,F,Y,Y,1,261000.0,State servant,Higher education,Married,House / apartment,41.0,4.0,Managers,3,0
449,F,Y,Y,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,40.0,17.0,Core staff,4,0
450,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,36.0,2.0,Drivers,2,0
451,F,N,Y,0,157500.0,Pensioner,Lower secondary,Married,House / apartment,64.0,0.0,other,2,0
452,M,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,2.0,Laborers,3,0
453,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,7.0,Core staff,2,0
454,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,Laborers,3,0
455,F,N,N,0,112500.0,Working,Higher education,Single / not married,With parents,30.0,0.0,High skill tech staff,1,0
456,M,N,Y,1,231750.0,Working,Secondary / secondary special,Married,House / apartment,39.0,0.0,other,3,0
457,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,33.0,4.0,Managers,1,0
458,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,3.0,Drivers,2,0
459,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,Core staff,1,0
460,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,31.0,1.0,Sales staff,2,0
461,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.0,0.0,other,1,0
462,M,Y,Y,0,117000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,3.0,Laborers,2,0
463,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,51.0,6.0,Low-skill Laborers,2,0
464,F,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,30.0,2.0,Secretaries,1,0
465,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,other,1,0
466,F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,48.0,9.0,Private service staff,1,0
467,F,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,With parents,23.0,1.0,Sales staff,2,0
468,F,N,Y,2,247500.0,Commercial associate,Incomplete higher,Married,House / apartment,33.0,6.0,other,4,0
469,M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,27.0,5.0,Laborers,2,0
470,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,13.0,Laborers,2,0
471,F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,44.0,1.0,Sales staff,2,0
472,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,61.0,2.0,Managers,2,0
473,M,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,44.0,19.0,Laborers,2,0
474,M,Y,N,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,36.0,5.0,Laborers,3,0
475,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,0
476,F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,21.0,other,3,0
477,F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,26.0,6.0,High skill tech staff,3,0
478,M,N,Y,0,90900.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,other,2,0
479,F,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,32.0,10.0,other,4,0
480,F,Y,Y,0,45900.0,Pensioner,Secondary / secondary special,Widow,House / apartment,56.0,0.0,other,1,0
481,M,N,Y,1,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,34.0,0.0,other,3,0
482,F,N,Y,0,103500.0,Working,Incomplete higher,Married,House / apartment,32.0,13.0,Laborers,2,0
483,F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,44.0,12.0,Core staff,3,0
484,M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,32.0,2.0,Drivers,4,0
485,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,10.0,Core staff,3,0
486,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,6.0,Accountants,2,0
487,F,N,Y,1,315000.0,Working,Higher education,Married,House / apartment,32.0,4.0,Managers,3,0
488,M,N,N,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,15.0,Drivers,3,0
489,M,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,31.0,2.0,Security staff,1,0
490,M,Y,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,33.0,2.0,Laborers,2,0
491,F,N,Y,2,112500.0,Working,Incomplete higher,Married,House / apartment,30.0,5.0,Core staff,4,0
492,F,N,Y,0,58500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,68.0,0.0,other,1,0
493,F,N,Y,0,94500.0,Commercial associate,Higher education,Separated,House / apartment,40.0,17.0,Medicine staff,1,0
494,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,Laborers,2,0
495,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38.0,0.0,Sales staff,2,0
496,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.0,0.0,other,2,0
497,F,N,Y,1,315000.0,Working,Higher education,Separated,House / apartment,43.0,13.0,Private service staff,2,0
498,F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,40.0,6.0,Core staff,3,0
499,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,Sales staff,2,0
500,F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,40.0,13.0,Laborers,2,0
501,M,N,N,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,42.0,21.0,Laborers,1,0
502,F,Y,N,0,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,56.0,0.0,other,1,0
503,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,6.0,Laborers,2,0
504,F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,14.0,Medicine staff,4,0
505,F,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,3.0,Core staff,1,0
506,M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,39.0,3.0,Laborers,1,0
507,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,17.0,Medicine staff,4,0
